,Clothing ID,Age,Rating,Recommended IND,Positive Feedback Count,Labeled Division Name,Labeled Department Name,Labeled Class Name
22520,1033,37,5,1,0,0,0,7
8426,1092,31,5,1,0,0,1,3
23128,1062,41,5,1,0,0,0,13
15240,1033,40,4,1,2,1,0,7
2930,863,21,4,1,0,0,4,8
10060,1037,42,5,1,0,0,0,7
12736,1110,51,5,1,1,0,1,3
18373,1150,67,5,1,1,0,1,3
13440,1125,33,5,1,3,1,3,12
3641,1094,29,5,1,0,0,1,3
11235,872,35,5,1,0,0,4,8
11070,1086,47,5,1,2,0,1,3
20660,873,21,4,1,0,0,4,8
18420,876,49,5,1,1,0,4,8
2471,1085,22,5,1,1,1,1,3
8143,952,37,5,1,0,0,4,17
19452,1076,61,5,1,1,0,1,3
21044,1084,39,5,1,1,0,1,3
2900,863,45,5,1,1,0,4,8
20520,834,31,5,1,0,0,4,0
8865,1081,24,5,1,0,1,1,3
5693,1078,26,5,1,5,0,1,3
20264,1051,45,4,1,1,0,0,13
10825,1110,35,5,1,1,0,1,3
13806,1078,49,5,1,1,0,1,3
11133,1020,53,4,1,4,0,0,15
13613,868,36,3,1,0,0,4,8
5643,1099,56,5,1,0,1,1,3
23210,1087,74,4,1,0,1,1,3
20418,1095,30,3,1,1,0,1,3
8939,862,43,5,1,4,1,4,8
22630,1082,49,5,1,1,0,1,3
8506,936,37,5,1,1,2,2,18
4187,860,53,4,1,0,1,4,8
21661,1008,33,5,1,2,1,0,15
21950,1022,57,5,1,0,0,0,7
20746,883,26,3,1,0,0,4,8
14864,833,39,4,1,1,0,4,0
10999,1086,39,5,1,3,0,1,3
13872,835,34,4,1,0,0,4,0
22715,854,68,5,1,0,0,4,8
1603,1051,47,5,1,0,1,0,13
15272,864,66,5,1,0,0,4,8
7379,715,27,5,1,0,2,2,11
17849,861,37,5,1,0,0,4,8
14446,1028,46,5,1,6,0,0,7
16729,967,38,5,1,0,0,3,6
11522,941,33,5,1,7,0,4,17
8266,823,57,5,1,5,0,4,0
9617,868,59,5,1,1,0,4,8
17606,616,46,5,1,1,2,2,11
7436,936,46,5,1,0,2,2,11
11993,1077,43,4,1,0,0,1,3
7107,868,46,4,1,0,0,4,8
6760,1033,42,5,1,0,1,0,7
5449,939,38,5,1,0,0,4,17
9803,933,29,5,1,2,1,4,17
2642,945,35,5,1,4,0,4,17
19137,1121,42,5,1,3,0,3,12
9845,1078,41,3,1,5,1,1,3
4984,927,39,5,1,0,0,4,17
13559,868,35,5,1,1,0,4,8
1285,979,37,5,1,1,0,3,6
9194,1104,35,5,1,0,0,1,3
22519,867,48,5,1,0,0,4,8
11989,820,28,5,1,0,0,4,0
17898,936,31,5,1,0,1,2,11
18279,1033,21,5,1,3,0,0,7
9427,1094,37,5,1,1,1,1,3
18686,838,47,5,1,6,1,4,0
6527,1095,35,5,1,0,0,1,3
3473,939,43,5,1,1,0,4,17
4808,1024,44,5,1,2,0,0,7
6486,1095,45,5,1,0,0,1,3
2789,868,25,5,1,0,0,4,8
13111,1081,23,4,1,0,1,1,3
15631,936,27,5,1,1,2,2,18
12019,1008,35,5,1,0,0,0,15
8851,1094,34,4,1,5,0,1,3
18075,834,41,5,1,1,0,4,0
10050,1081,53,5,1,3,1,1,3
12642,1057,47,5,1,0,1,0,13
